10,7,7,9,7,7,7
1010,473,464,600,575,470,521
2010,919,905,1168,1126,916,1034
3010,1384,1367,1759,1704,1377,1551
4010,1778,1763,2275,2201,1774,1999
5010,2298,2270,2921,2813,2287,2563
6010,2730,2717,3474,3379,2724,3081
7010,3198,3162,4098,3950,3193,3601
8010,3610,3580,4644,4486,3600,4079
9010,4079,4042,5249,5063,4072,4615
10010,4577,4531,5850,5644,4567,5160
11010,4990,4948,6402,6188,4976,5640
12010,5432,5401,7011,6746,5422,6180
13010,5878,5806,7503,7278,5870,6639
14010,6372,6313,8164,7899,6359,7241
15010,6893,6854,8831,8526,6881,7781
16010,7278,7232,9364,9015,7270,8254
17010,7809,7773,10042,9675,7796,8809
18010,8124,8083,10449,10126,8104,9242
19010,8589,8521,11045,10671,8571,9730
20010,9164,9101,11754,11381,9157,10375
21010,9449,9414,12145,11795,9440,10743
22010,9987,9956,12893,12427,9980,11379
23010,10440,10388,13448,12995,10419,11863
24010,10818,10791,13947,13497,10812,12288
25010,11312,11246,14567,14081,11297,12866
26010,11656,11593,15003,14510,11638,13253
27010,12215,12145,15716,15185,12191,13847
28010,12683,12625,16362,15774,12667,14365
29010,13098,13048,16857,16346,13077,14896
30010,13543,13470,17438,16848,13532,15403
31010,14047,13972,18101,17464,14032,15936
32010,14409,14371,18637,17994,14387,16401
33010,14902,14823,19224,18570,14874,16939
34010,15497,15465,19935,19280,15474,17613
35010,15753,15644,20265,19565,15721,17869
36010,16266,16199,20995,20260,16247,18499
37010,16641,16582,21483,20756,16619,18953
38010,17249,17148,22167,21453,17223,19563
39010,17653,17572,22739,21965,17630,20044
40010,18066,17971,23366,22464,18050,20522
41010,18476,18394,23807,22978,18456,20973
42010,18916,18846,24500,23575,18897,21539
43010,19394,19341,25052,24191,19371,22068
44010,19798,19735,25614,24705,19780,22564
45010,20333,20234,26209,25305,20296,23083
46010,20574,20517,26559,25661,20549,23396
47010,21141,21069,27290,26365,21120,24100
48010,21664,21590,27934,26982,21629,24637
49010,22332,22214,28721,27746,22296,25406
50010,22643,22562,29237,28251,22599,25730
51010,23034,22986,29735,28712,23002,26193
52010,23420,23337,30172,29184,23401,26638
53010,23920,23818,30861,29761,23894,27137
54010,24404,24310,31554,30408,24392,27784
55010,24813,24710,32009,30907,24790,28196
56010,25260,25190,32648,31499,25209,28760
57010,25811,25736,33259,32198,25769,29400
58010,26198,26114,33843,32694,26169,29799
59010,26466,26388,34215,33077,26440,30166
60010,27068,26987,35008,33738,27027,30820
61010,27566,27483,35664,34413,27528,31433
62010,28234,28130,36349,35124,28194,32078
63010,28584,28504,36909,35593,28550,32512
64010,28823,28714,37232,35902,28803,32772
65010,29439,29278,37930,36635,29416,33444
66010,29773,29679,38462,37144,29747,33933
67010,30331,30240,39186,37818,30325,34552
68010,30617,30576,39535,38215,30596,34927
69010,31320,31236,40413,39012,31299,35593
70010,31660,31559,40940,39456,31641,36021
71010,32211,32119,41492,40064,32193,36586
72010,32562,32478,42029,40565,32536,37029
73010,32900,32822,42375,41016,32867,37437
74010,33359,33244,43108,41621,33334,38002
75010,33909,33819,43778,42297,33880,38556
76010,34436,34290,44376,42865,34394,39159
77010,34794,34639,44826,43324,34767,39558
78010,35293,35203,45639,43991,35264,40218
79010,35694,35568,46080,44511,35666,40610
80010,36266,36155,46762,45135,36243,41218
81010,36601,36498,47232,45646,36566,41693
82010,36926,36829,47704,46095,36908,42052
83010,37629,37534,48540,46880,37620,42837
84010,38061,38008,49078,47463,38044,43317
85010,38447,38331,49655,47957,38423,43781
86010,38823,38737,50212,48449,38794,44183
87010,39396,39297,50841,49078,39361,44822
88010,39574,39497,51247,49411,39543,45136
89010,40107,39995,51702,50076,40071,45621
90010,40622,40520,52448,50670,40595,46271
91010,40894,40794,52844,51033,40877,46503
92010,41617,41480,53748,51868,41587,47323
93010,42114,41998,54360,52469,42063,47945
94010,42409,42256,54774,52842,42392,48249
95010,42878,42858,55313,53551,42863,48917
96010,43350,43256,56117,54132,43329,49344
97010,43687,43564,56457,54483,43660,49751
98010,44119,44011,57020,55041,44086,50171
99010,44754,44651,57855,55859,44747,51015
